Date,Day,City,State,Venue,With
2014-02-27,Thu,Purchase,NY,The Stood,"Flagland, What Moon Things, Earl Boykins"
2014-02-25,Tue,Winooski,VT,The Monkey House,"Flagland, Drawing, Jim Will Yell At You"
2014-02-24,Mon,Allston,MA,O'Brien's Pub,"Flagland, Trespasser, Idiot Genes"
2014-02-23,Sun,Haledon,NJ,John Ryle House,"Flagland, Winnebago, Party Cops"
2014-02-22,Sat,Babylon,NY,Twisted Shamrock,"Flagland, Glen & The Boys, Puppetpal Rene"
2014-02-17,Mon,Brooklyn,NY,Trash Bar,"Dead Guy, Poison Oak, Prophet Driven"
2014-02-13,Thu,Brooklyn,NY,Shea Stadium,"Grass Is Green, Slonk Donkerson, Heeney"
2014-01-09,Thu,Brooklyn,NY,Shea Stadium,"Big Ups, Flagland, Mannequin Pussy"
2013-12-26,Thu,Babylon,NY,Bartini,"Glen & The Boys, Toons, Dead Guy"
2013-12-03,Tue,Brooklyn,NY,Trash Bar,"Voyeur, The Walding Family, Autocatalytica"
2013-11-18,Mon,Manhattan,NY,Pianos,"Poison Oak, For Everest, Spirit Night"
2013-11-17,Sun,Brooklyn,NY,Spike Hill,"STRYK9, The Sweet Boys"
2013-11-08,Fri,Brooklyn,NY,Pine Box Rock Shop,"Hounds Basket, SideASideB, Cut Keys, These Polar Opposites"
2013-10-30,Wed,Brooklyn,NY,Trash Bar,"Vulture Shit, Flagland, Pocket Pool"
2013-08-21,Wed,Manhattan,NY,Parkside Lounge,"Dead Guy, Crosstown Local"
